p_268,s_808
p_40,s_1390
p_298,s_1357
p_272,s_348
p_271,s_842
p_229,s_354
p_188,s_31
p_254,s_430
p_199,s_812
p_239,s_1132
p_237,s_607
p_326,s_555
p_33,s_1298
p_270,s_973
p_83,s_432
p_224,s_1038
p_35,s_698
p_57,s_1200
p_298,s_219
p_157,s_578
p_251,s_699
p_31,s_1190
p_255,s_638
p_196,s_621
p_138,s_831
p_306,s_189
p_214,s_85
p_20,s_541
p_318,s_401
p_324,s_515
p_318,s_572
p_224,s_173
p_167,s_433
p_196,s_428
p_297,s_478
p_67,s_832
p_297,s_1333
p_199,s_21
p_219,s_1145
p_190,s_784
p_117,s_1185
p_301,s_795
p_27,s_1002
p_20,s_416
p_77,s_1092
p_27,s_131
p_320,s_399
p_254,s_234
p_101,s_1414
p_212,s_1141
p_144,s_1165
p_293,s_843
p_53,s_166
p_150,s_1083
p_75,s_866
p_85,s_948
p_47,s_925
p_284,s_289
p_229,s_1454
p_275,s_1272
p_3,s_922
p_93,s_1142
p_197,s_325
p_90,s_120
p_52,s_423
p_335,s_592
p_196,s_776
p_173,s_1065
p_311,s_1064
p_30,s_1006
p_100,s_567
p_332,s_1027
p_259,s_286
p_343,s_44
p_179,s_845
p_305,s_109
p_111,s_472
p_83,s_575
p_134,s_1031
p_38,s_1391
p_343,s_710
p_77,s_149
p_26,s_1468
p_79,s_524
p_199,s_1302
p_118,s_1425
p_180,s_744
p_271,s_662
p_186,s_582
p_240,s_1243
p_5,s_23
p_208,s_1161
p_293,s_1110
p_308,s_59
p_109,s_1278
p_121,s_951
p_182,s_897
p_158,s_278
p_113,s_828
p_213,s_728
p_272,s_1327
p_98,s_1404
p_204,s_1304
p_291,s_888
p_282,s_1360
p_286,s_1195
p_211,s_1258
p_74,s_1458
p_277,s_1437
p_293,s_261
p_326,s_1369
p_340,s_424
p_304,s_608
p_126,s_688
p_121,s_797
p_131,s_164
p_231,s_1119
p_25,s_387
p_157,s_410
p_291,s_1023
p_124,s_1054
p_49,s_983
p_342,s_1106
p_289,s_388
p_105,s_975
p_282,s_877
p_207,s_557
p_79,s_1166
p_123,s_1024
p_133,s_241
p_341,s_545
p_341,s_972
p_185,s_828
p_111,s_893
p_243,s_386
p_71,s_201
p_36,s_999
p_229,s_1286
p_57,s_1256
p_187,s_738
p_213,s_684
p_250,s_1387
p_269,s_50
p_269,s_1075
p_104,s_327
p_321,s_1130
p_86,s_518
p_29,s_809
p_228,s_83
p_154,s_509
p_13,s_487
p_314,s_622
p_193,s_479
p_319,s_1319
p_37,s_661
p_53,s_1450
p_316,s_1181
p_36,s_195
p_101,s_359
p_121,s_253
p_28,s_1244
p_149,s_1265
p_297,s_1041
p_110,s_1178
p_305,s_939
p_112,s_412
p_152,s_734
p_50,s_90
p_51,s_1420
p_291,s_15
p_134,s_1295
p_272,s_1453
p_210,s_108
p_220,s_722
p_292,s_852
p_26,s_190
p_106,s_919
p_259,s_1085
p_259,s_438
p_296,s_1427
p_138,s_988
p_233,s_1266
p_11,s_17
p_335,s_1043
p_162,s_157
p_226,s_134
p_190,s_1221
p_278,s_402
p_244,s_828
p_175,s_954
p_66,s_1177
p_334,s_405
p_191,s_1433
p_332,s_490
p_296,s_869
p_86,s_385
p_144,s_766
p_277,s_968
p_292,s_150
p_203,s_555
p_46,s_474
p_293,s_887
p_117,s_875
p_41,s_1093
p_172,s_1072
p_58,s_422
p_258,s_809
p_64,s_115
p_110,s_1239
p_329,s_629
p_148,s_503
p_282,s_425
p_136,s_517
p_180,s_1049
p_295,s_927
p_79,s_943
p_313,s_742
p_227,s_315
p_241,s_1103
p_13,s_934
p_324,s_341
p_343,s_741
p_218,s_1434
p_294,s_1365
p_163,s_434
p_256,s_123
p_139,s_796
p_342,s_1375
p_225,s_69
p_120,s_1096
p_241,s_790
p_143,s_437
p_251,s_36
p_74,s_150
p_163,s_1044
p_187,s_491
p_186,s_655
p_172,s_1471
p_135,s_1463
p_201,s_1270
p_35,s_1031
p_103,s_596
p_59,s_840
p_333,s_961
p_164,s_1093
p_7,s_996
p_200,s_904
p_311,s_116
p_158,s_1082
p_333,s_561
p_244,s_1093
p_0,s_820
p_325,s_960
p_322,s_332
p_270,s_1126
p_163,s_1151
p_1,s_1066
p_143,s_266
p_211,s_98
p_177,s_1415
p_212,s_942
p_59,s_677
p_54,s_881
p_158,s_884
p_220,s_1107
p_37,s_380
p_187,s_1121
p_81,s_528
p_62,s_1332
p_58,s_310
p_240,s_637
p_108,s_1155
p_89,s_168
p_311,s_484
p_224,s_859
p_68,s_765
p_45,s_103
p_76,s_971
p_236,s_1032
p_331,s_749
p_260,s_1148
p_38,s_817
p_226,s_931
p_305,s_799
p_207,s_64
p_202,s_1261
p_95,s_989
p_221,s_1153
p_32,s_475
p_118,s_1406
p_147,s_594
p_176,s_1386
p_68,s_403
p_203,s_1369
p_54,s_1039
p_127,s_1056
p_139,s_1113
p_338,s_1300
p_19,s_244
p_215,s_1094
p_11,s_49
p_82,s_670
p_122,s_870
p_87,s_643
p_63,s_1412
p_52,s_1168
p_324,s_788
p_147,s_824
p_116,s_1246
p_269,s_606
p_247,s_689
p_66,s_726
p_81,s_301
p_214,s_278
p_90,s_707
p_169,s_565
p_295,s_864
p_97,s_952
p_228,s_176
p_143,s_440
p_183,s_87
p_230,s_78
p_71,s_1001
p_314,s_754
p_174,s_1323
p_177,s_1252
p_37,s_1169
p_100,s_439
p_43,s_1114
p_144,s_515
p_110,s_0
p_17,s_122
p_313,s_1015
p_238,s_930
p_111,s_239
p_108,s_433
p_325,s_1327
p_109,s_1208
p_281,s_205
p_305,s_695
p_314,s_167
p_189,s_759
p_209,s_1255
p_292,s_978
p_67,s_233
p_52,s_668
p_125,s_778
p_338,s_1216
p_129,s_256
p_70,s_324
p_133,s_627
p_174,s_307
p_307,s_746
p_143,s_275
p_5,s_144
p_41,s_140
p_158,s_1263
p_289,s_1392
p_2,s_1116
p_288,s_779
p_98,s_1222
p_237,s_1202
p_278,s_1004
p_265,s_653
p_225,s_867
p_80,s_1309
p_178,s_857
p_239,s_614
p_193,s_174
p_216,s_1018
p_242,s_935
p_210,s_216
p_281,s_932
p_86,s_1464
p_35,s_473
p_340,s_907
p_183,s_203
p_232,s_314
p_55,s_304
p_215,s_841
p_282,s_1407
p_206,s_1451
p_190,s_116
p_296,s_18
p_149,s_517
p_115,s_1046
p_123,s_625
p_94,s_204
p_275,s_808
p_235,s_705
p_153,s_1317
p_145,s_650
p_24,s_589
p_31,s_1355
p_288,s_950
p_288,s_1273
p_322,s_73
p_46,s_1214
p_78,s_1343
p_137,s_71
p_106,s_396
p_161,s_288
p_290,s_1060
p_94,s_1326
p_90,s_1439
p_197,s_953
p_341,s_110
p_294,s_429
p_209,s_1231
p_136,s_1158
p_332,s_1384
p_242,s_1469
p_303,s_530
p_81,s_497
p_166,s_915
p_283,s_1106
p_339,s_342
p_106,s_1196
p_195,s_137
p_186,s_1293
p_254,s_694
p_88,s_543
p_83,s_426
p_283,s_206
p_337,s_605
p_191,s_76
p_222,s_1258
p_121,s_1353
p_43,s_928
p_191,s_1428
p_162,s_1443
p_268,s_787
p_158,s_660
p_46,s_1326
p_219,s_521
p_241,s_1156
p_150,s_970
p_238,s_520
p_256,s_854
p_61,s_490
p_266,s_1047
p_123,s_40
p_274,s_1423
p_157,s_371
p_21,s_555
p_344,s_949
p_96,s_723
p_130,s_1012
p_213,s_887
p_208,s_272
p_62,s_419
p_111,s_1455
p_208,s_1371
p_35,s_896
p_42,s_478
p_306,s_1459
p_339,s_676
p_17,s_865
p_319,s_1125
p_182,s_1067
p_89,s_1364
p_16,s_118
p_119,s_1356
p_316,s_13
p_3,s_1325
p_126,s_150
p_221,s_1188
p_122,s_53
p_247,s_1140
p_265,s_1011
p_123,s_1028
p_266,s_187
p_17,s_902
p_253,s_779
p_161,s_1098
p_87,s_583
p_286,s_656
p_262,s_1313
p_109,s_1205
p_36,s_1359
p_6,s_1010
p_258,s_333
p_277,s_394
p_218,s_714
p_84,s_1157
p_57,s_646
p_261,s_4
p_198,s_1194
p_200,s_363
p_11,s_1220
p_112,s_1197
p_288,s_65
p_268,s_1306
p_87,s_3
p_183,s_410
p_124,s_1290
p_129,s_156
p_9,s_291
p_320,s_1282
p_53,s_504
p_14,s_486
p_263,s_1401
p_95,s_446
p_22,s_1176
p_287,s_927
p_234,s_205
p_99,s_693
p_0,s_1292
p_1,s_1292
p_164,s_1195
p_147,s_761
p_301,s_1176
p_268,s_1438
p_276,s_427
p_173,s_199
p_104,s_389
p_34,s_767
p_155,s_43
p_259,s_704
p_204,s_29
p_110,s_1162
p_16,s_526
p_302,s_659
p_61,s_987
p_145,s_610
p_43,s_294
p_251,s_268
p_21,s_499
p_263,s_544
p_92,s_755
p_132,s_279
p_103,s_1176
p_17,s_1318
p_236,s_86
p_289,s_771
p_140,s_1308
p_217,s_947
p_6,s_1292
p_261,s_993
p_245,s_339
p_283,s_1396
p_107,s_1322
p_101,s_774
p_247,s_293
p_21,s_1369
p_3,s_801
p_73,s_604
p_38,s_442
p_133,s_1401
p_318,s_404
p_116,s_1134
p_263,s_656
p_302,s_685
p_260,s_849
p_234,s_551
p_54,s_1287
p_247,s_488
p_279,s_737
p_306,s_103
p_246,s_506
p_113,s_768
p_343,s_686
p_262,s_445
